,0
simplified_model_5500,22528.396610748998
simplified_model_911,21510.589593790606
simplified_model_f650,19305.54132436959
simplified_model_c10,19224.94123376125
simplified_model_land,17535.39320872707
simplified_model_f750,17256.833870155806
simplified_model_gls,17221.47266770841
simplified_model_tesla,16454.23364715431
simplified_model_porsche,16039.182896771285
simplified_model_3500,16038.875748695084
simplified_model_4500,15643.992143116824
simplified_model_macan,15271.248344804435
simplified_model_f250sd,15064.166022910373
simplified_model_lx,14821.735234808057
simplified_model_alfa-romeo,14528.588618860313
simplified_model_datsun,14300.598413763759
simplified_model_corvette,14217.78339809603
simplified_model_mercedes-amg,13880.118305695958
simplified_model_fuso,13821.64782577861
simplified_model_panamera,13712.589512316956
simplified_model_2500,13354.442273550629
simplified_model_s-class,13097.048396819615
simplified_model_m3,13053.382308619439
simplified_model_super,12733.238116178647
simplified_model_sprinter,12652.686185718234
simplified_model_gladiator,12500.092034981295
simplified_model_f550,12258.715877302955
simplified_model_lifted,12243.17799494304
simplified_model_sl-class,11973.976755419346
simplified_model_el,11970.810301532183
simplified_model_firebird,10958.830819137454
simplified_model_x6,10896.661423955844
simplified_model_bronco,10701.487824826809
simplified_model_f350,10588.440540103838
car_age^2,10413.324109645662
simplified_model_ferrari,10368.367393011158
simplified_model_7,10164.828956824884
simplified_model_f450,10133.28284532378
simplified_model_audi,10033.102466599072
simplified_model_fj,9774.95898773539
simplified_model_gle,9628.087096848569
simplified_model_model,9502.337883334647
simplified_model_e-pace,9248.542371714917
simplified_model_f250,9203.171892474576
simplified_model_excursion,9169.71924622655
simplified_model_jeep,9048.225960741289
simplified_model_f,8376.831914067072
simplified_model_s5,8289.943707749011
simplified_model_ram,8288.670628000596
simplified_model_qx80,7868.718610547234
simplified_model_a7,7835.4970834354845
simplified_model_rover,7833.081806814925
simplified_model_sierra,7427.0251138695185
simplified_model_f100,7403.570954024943
simplified_model_land rover,7400.386783641439
simplified_model_chevrolet,7155.236117678015
simplified_model_volkswagen,7126.534700904303
simplified_model_boxster,7037.251309446535
simplified_model_glc,6831.0016683061285
simplified_model_gmc,6679.642955679496
simplified_model_rc,6644.102339240416
simplified_model_pontiac,6548.384038231329
simplified_model_gx,6466.809644582841
simplified_model_thunderbird,6375.396760584547
simplified_model_tundra,6346.777292128374
simplified_model_fpace,6149.6038461680855
simplified_model_escalade,6010.042098047425
simplified_model_4runner,5921.598903598558
simplified_model_range,5859.419059003641
simplified_model_continental,5858.4507895414745
simplified_model_4-runner,5854.995148523699
simplified_model_eldorado,5807.865910277658
simplified_model_wrangler,5408.222378058028
simplified_model_corsair,5214.5247818305825
simplified_model_gla-class,5210.162342352387
simplified_model_cayenne,5180.487104663587
simplified_model_cls-class,5170.095799484014
simplified_model_z4,5128.638420111027
simplified_model_sport,5116.047439288835
odometer^2,5111.957551172096
simplified_model_silverado,5018.710992127371
simplified_model_metris,4910.356910386331
simplified_model_tacoma,4441.745656157884
simplified_model_ls,4413.086589649817
simplified_model_pickup,4375.695265913562
simplified_model_370z,4328.74579668117
simplified_model_s4,4317.40140855562
simplified_model_z3,4308.686652944151
simplified_model_mercury,4296.094993758172
simplified_model_q7,4265.391647338397
simplified_model_monte,4225.752544539386
simplified_model_xt5,4214.136165777312
simplified_model_volvo,4090.9354889380597
simplified_model_discovery,4074.3972233700147
simplified_model_xj,3870.0445454027463
simplified_model_camaro,3790.1372122904436
simplified_model_miata,3781.241905041374
simplified_model_ct5,3684.7323743148563
simplified_model_navigator,3659.555767226997
simplified_model_tt,3618.901946108248
simplified_model_e-class,3519.5422551488414
simplified_model_q60,3452.9459162040785
simplified_model_evoque,3418.479263500311
simplified_model_xt4,3367.857032070797
simplified_model_toyota,3175.5566566046705
simplified_model_sequoia,3158.093378507757
simplified_model_f150,3123.1274778019974
simplified_model_s90,2997.0380961956776
simplified_model_4,2993.8236133235077
simplified_model_yukon,2919.7641103198953
simplified_model_nx,2845.851002482969
state_wa,2827.5568235797277
simplified_model_challenger,2780.689025739447
simplified_model_jaguar,2767.8788256908792
simplified_model_mdx,2767.3197389630714
simplified_model_cadillac,2755.896740711866
simplified_model_romeo,2751.5623472579487
simplified_model_tahoe,2724.571318247178
simplified_model_mustang,2558.0174208052545
simplified_model_e,2470.273550545413
simplified_model_nissan,2430.952401836217
simplified_model_mercedes-benz,2408.5199599731404
simplified_model_a8,2369.222876043714
simplified_model_rx,2366.7089981605936
simplified_model_a6,2343.9916781836305
state_mt,2289.1227210902875
simplified_model_gs,2182.6631218872053
simplified_model_lincoln,2164.2487361478093
type_convertible,2162.7520832227665
state_hi,2151.6889566618565
state_or,2136.686678507231
simplified_model_s10,2131.657920563517
simplified_model_hse,2115.1482272506737
simplified_model_1500,2036.1140757717635
simplified_model_canyon,1972.0955134275953
simplified_model_blazer,1939.6064297595876
simplified_model_x5,1919.8200072488512
state_ak,1881.1791696730177
simplified_model_ford,1832.4335060787748
condition_new,1768.003240266559
simplified_model_astro,1731.33522298649
type_other,1673.353655976119
drive_4wd,1586.0264804129058
type_coupe,1567.2145188015008
simplified_model_wrx,1548.7971569645213
state_id,1488.2790571563173
simplified_model_econoline,1477.201409133947
simplified_model_dodge,1469.3038896377466
simplified_model_buick,1436.198516656841
simplified_model_lr4,1417.8192383562443
simplified_model_promaster,1399.9907140194796
