,price,year,condition,cylinders,odometer,title_status,transmission,drive,type,state,simplified_model
599,1500,2004.0,fair,4.0,150000.0,missing,automatic,rwd,truck,al,colorado
1091,4000,1958.0,good,8.0,110000.0,missing,automatic,4wd,Not Specified,al,ford
1391,2950,1963.0,fair,4.0,1164.0,missing,manual,rwd,convertible,al,chevrolet
1723,5250,1999.0,fair,8.0,248000.0,missing,automatic,rwd,pickup,al,f150
4146,2000,2011.0,good,5.0,117852.0,missing,automatic,rwd,sedan,al,lexus
5193,6000,1952.0,Not Specified,6.0,0.0,missing,manual,Not Specified,Not Specified,ak,dodge
5331,3000,1971.0,fair,4.0,6042.0,missing,other,rwd,hatchback,ak,super
7541,1100,2007.0,Not Specified,4.0,273000.0,missing,automatic,Not Specified,Not Specified,ak,accord
7761,500,2008.0,fair,4.0,187450.0,missing,automatic,fwd,hatchback,ak,toyota
8200,12500,2016.0,good,4.0,20190.0,missing,automatic,fwd,coupe,ak,prius
8476,1000,2015.0,salvage,6.0,45000.0,missing,automatic,fwd,sedan,az,altima
9600,2200,1977.0,good,8.0,30000.0,missing,automatic,rwd,truck,az,f150
11247,1700,1980.0,Not Specified,8.0,95706.0,missing,automatic,Not Specified,Not Specified,az,f150
11341,32500,1932.0,new,8.0,50.0,missing,manual,fwd,coupe,az,ford
13581,3500,1955.0,good,8.0,99999.0,missing,automatic,Not Specified,Not Specified,az,buick
15065,2250,1973.0,fair,4.0,999999.0,missing,manual,rwd,Not Specified,az,volkswagen
15088,1400,1984.0,good,6.0,79000.0,missing,manual,4wd,pickup,az,ford
16745,4500,2007.0,fair,6.0,127000.0,missing,automatic,fwd,coupe,az,bmw
17789,2500,1970.0,good,8.0,95000.0,missing,automatic,rwd,truck,ar,chevrolet
18642,1500,1960.0,salvage,8.0,123156.0,missing,other,rwd,bus,ar,ford
19306,2000,1962.0,salvage,8.0,150000.0,missing,manual,rwd,coupe,ar,impala
19574,800,2005.0,salvage,6.0,189000.0,missing,automatic,4wd,Not Specified,ar,dodge
20537,3500,1991.0,good,6.0,120000.0,missing,automatic,rwd,convertible,ar,camaro
20744,7500,1965.0,good,6.0,50000.0,missing,manual,4wd,truck,ar,jeep
20765,8500,1964.0,fair,8.0,100000.0,missing,manual,rwd,coupe,ar,malibu
21760,10000,1965.0,good,8.0,999999.0,missing,automatic,Not Specified,bus,ca,chevrolet
22043,2800,2000.0,Not Specified,6.0,1.0,missing,manual,Not Specified,Not Specified,ca,bmw
24804,500,2005.0,salvage,6.0,183853.0,missing,automatic,Not Specified,Not Specified,ca,es
25087,150,1949.0,Not Specified,6.0,9999999.0,missing,other,Not Specified,Not Specified,ca,dodge
26214,750,1980.0,fair,8.0,100000.0,missing,automatic,fwd,sedan,ca,cadillac
26881,1000,1978.0,fair,8.0,60000.0,missing,automatic,4wd,SUV,ca,chevrolet
27232,5800,1967.0,Not Specified,8.0,99999.0,missing,automatic,Not Specified,Not Specified,ca,chevrolet
28769,1800,2000.0,Not Specified,6.0,300000.0,missing,manual,4wd,Not Specified,ca,f150
28907,105,1978.0,Not Specified,4.0,9999999.0,missing,manual,rwd,Not Specified,ca,mercedes-benz
30377,16000,1940.0,good,5.0,1.0,missing,other,rwd,Not Specified,ca,jeep
30471,2650,1935.0,fair,6.0,100000.0,missing,manual,rwd,Not Specified,ca,dodge
30759,1750,1963.0,Not Specified,8.0,0.0,missing,automatic,Not Specified,Not Specified,ca,ford
31552,2500,1964.0,good,8.0,96975.0,missing,automatic,rwd,sedan,ca,chrysler
33674,17500,1955.0,Not Specified,8.0,1000.0,missing,manual,Not Specified,Not Specified,ca,chevrolet
34143,32500,1932.0,new,8.0,50.0,missing,manual,fwd,coupe,ca,ford
34780,13500,1957.0,good,8.0,1000000.0,missing,manual,Not Specified,bus,ca,chevrolet
35630,6300,1948.0,good,6.0,1222334.0,missing,manual,rwd,sedan,ca,chevrolet
36303,2000,1965.0,Not Specified,8.0,12345.0,missing,manual,rwd,Not Specified,ca,mustang
36557,4000,2003.0,good,4.0,300000.0,missing,automatic,Not Specified,sedan,ca,camry
36830,595,1978.0,Not Specified,4.0,65000.0,missing,manual,4wd,Not Specified,ca,chevrolet
37452,6500,1964.0,fair,8.0,154386.0,missing,manual,rwd,truck,ca,chevrolet
37653,6500,1981.0,fair,4.0,100000.0,missing,manual,4wd,pickup,ca,toyota
38066,2900,2005.0,good,6.0,316100.0,missing,automatic,fwd,SUV,ca,pilot
38127,6900,1949.0,fair,6.0,1000000.0,missing,manual,rwd,truck,ca,chevrolet
39781,2000,2008.0,fair,8.0,270000.0,missing,automatic,4wd,SUV,ca,rover
39849,750,1978.0,fair,8.0,100000.0,missing,automatic,fwd,sedan,ca,town
39851,750,1980.0,fair,8.0,100000.0,missing,automatic,fwd,Not Specified,ca,cadillac
40000,800,1953.0,Not Specified,8.0,50508.0,missing,manual,Not Specified,Not Specified,ca,mercury
41363,17500,1955.0,good,8.0,10000.0,missing,manual,Not Specified,Not Specified,ca,chevrolet
41364,17500,1955.0,good,8.0,10000.0,missing,manual,Not Specified,Not Specified,ca,chevrolet
41728,3500,1989.0,good,8.0,36000.0,missing,automatic,rwd,Not Specified,ca,ford
41772,5000,2001.0,Not Specified,8.0,175000.0,missing,automatic,4wd,truck,ca,silverado
42024,7000,1963.0,fair,8.0,1000.0,missing,automatic,rwd,truck,ca,chevrolet
44153,2500,1970.0,fair,8.0,100000.0,missing,automatic,rwd,coupe,ca,chrysler
44824,1800,1985.0,fair,8.0,129000.0,missing,automatic,Not Specified,pickup,ca,f250
48561,3000,1967.0,Not Specified,8.0,1000.0,missing,other,Not Specified,Not Specified,ca,f150
